[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,198,0]
[1][1,(0, 1),0,E,1,197,1]
[3][3,(0, 2),1,E,2,196,2]
[8][7,(0, 3),3,E,3,195,3]
[15][8,(0, 4),8,E,4,194,4]
[26][10,(0, 5),15,E,5,193,5]
[41][14,(0, 6),26,E,6,192,6]
[59][18,(0, 7),41,E,7,191,7]
[82][21,(0, 8),59,E,8,190,8]
[109][22,(0, 9),82,E,9,189,9]
[134][26,(0, 10),109,E,10,188,10]
[162][28,(0, 11),134,E,11,187,11]
[195][31,(1, 11),162,S,12,186,12]
[232][33,(1, 12),195,E,13,185,13]
[271][34,(1, 13),232,E,14,184,14]
[315][35,(1, 14),271,E,15,183,15]
[358][36,(1, 15),315,E,16,182,16]
[403][37,(2, 15),358,S,17,181,17]
[459][40,(2, 16),403,E,18,180,18]
[513][41,(2, 17),459,E,19,179,19]
[569][42,(2, 18),513,E,20,178,20]
[626][46,(2, 19),569,E,21,177,21]
[686][49,(2, 20),626,E,22,176,22]
[758][50,(3, 20),686,S,23,175,23]
[841][51,(4, 20),758,S,24,174,24]
[917][53,(5, 20),841,S,25,173,25]
[984][54,(5, 21),917,E,26,172,26]
[1053][55,(5, 22),984,E,27,171,27]
[1128][56,(5, 23),1053,E,28,170,28]
[1215][58,(5, 24),1128,E,29,169,29]
[1308][59,(5, 25),1215,E,30,168,30]
[1399][60,(5, 26),1308,E,31,167,31]
[1495][61,(5, 27),1399,E,32,166,32]
[1594][63,(5, 28),1495,E,33,165,33]
[1699][64,(6, 28),1594,S,34,164,34]
[1806][67,(6, 29),1699,E,35,163,35]
[1910][68,(6, 30),1806,E,36,162,36]
[2030][69,(6, 31),1910,E,37,161,37]
[2155][72,(6, 32),2030,E,38,160,38]
[2269][73,(6, 33),2155,E,39,159,39]
[2385][75,(6, 34),2269,E,40,158,40]
[2512][76,(6, 35),2385,E,41,157,41]
[2640][79,(6, 36),2512,E,42,156,42]
[2766][82,(7, 36),2640,S,43,155,43]
[2893][85,(7, 37),2766,E,44,154,44]
[3024][86,(7, 38),2893,E,45,153,45]
[3169][89,(8, 38),3024,S,46,152,46]
[3312][92,(8, 39),3169,E,47,151,47]
[3446][93,(9, 39),3312,S,48,150,48]
[3584][96,(9, 40),3446,E,49,149,49]
[3717][100,(9, 41),3584,E,50,148,50]
[3866][101,(9, 42),3717,E,51,147,51]
[4034][102,(9, 43),3866,E,52,146,52]
[4205][105,(9, 44),4034,E,53,145,53]
[4368][107,(9, 45),4205,E,54,144,54]
[4524][108,(9, 46),4368,E,55,143,55]
[4689][109,(9, 47),4524,E,56,142,56]
[4857][111,(10, 47),4689,S,57,141,57]
[5018][113,(10, 48),4857,E,58,140,58]
[5186][115,(10, 49),5018,E,59,139,59]
[5379][116,(10, 50),5186,E,60,138,60]
[5588][117,(10, 51),5379,E,61,137,61]
[5796][120,(10, 52),5588,E,62,136,62]
[5991][121,(10, 53),5796,E,63,135,63]
[6178][124,(10, 54),5991,E,64,134,64]
[6376][125,(10, 55),6178,E,65,133,65]
[6588][126,(11, 55),6376,S,66,132,66]
[6809][128,(11, 56),6588,E,67,131,67]
[7025][130,(11, 57),6809,E,68,130,68]
[7235][132,(12, 57),7025,S,69,129,69]
[7450][133,(12, 58),7235,E,70,128,70]
[7656][134,(12, 59),7450,E,71,127,71]
[7858][137,(12, 60),7656,E,72,126,72]
[8074][141,(12, 61),7858,E,73,125,73]
[8288][142,(12, 62),8074,E,74,124,74]
[8507][143,(12, 63),8288,E,75,123,75]
[8744][146,(12, 64),8507,E,76,122,76]
[8995][150,(12, 65),8744,E,77,121,77]
[9244][151,(12, 66),8995,E,78,120,78]
[9484][154,(12, 67),9244,E,79,119,79]
[9734][156,(12, 68),9484,E,80,118,80]
[9983][157,(12, 69),9734,E,81,117,81]
[10215][158,(12, 70),9983,E,82,116,82]
[10452][159,(12, 71),10215,E,83,115,83]
[10716][163,(12, 72),10452,E,84,114,84]
[10982][164,(12, 73),10716,E,85,113,85]
[11249][165,(12, 74),10982,E,86,112,86]
[11526][168,(13, 74),11249,S,87,111,87]
[11794][172,(13, 75),11526,E,88,110,88]
[12058][173,(13, 76),11794,E,89,109,89]
[12339][174,(13, 77),12058,E,90,108,90]
[12618][176,(13, 78),12339,E,91,107,91]
[12876][177,(13, 79),12618,E,92,106,92]
[13144][178,(13, 80),12876,E,93,105,93]
[13438][179,(14, 80),13144,S,94,104,94]
[13746][180,(15, 80),13438,S,95,103,95]
[14054][181,(15, 81),13746,E,96,102,96]
[14344][184,(16, 81),14054,S,97,101,97]
[14639][185,(17, 81),14344,S,98,100,98]
[14952][186,(18, 81),14639,S,99,99,99]
[15268][187,(19, 81),14952,S,100,98,100]
[15578][189,(20, 81),15268,S,101,97,101]
[15895][192,(21, 81),15578,S,102,96,102]
[16215][193,(22, 81),15895,S,103,95,103]
[16533][194,(23, 81),16215,S,104,94,104]
[16851][197,(24, 81),16533,S,105,93,105]
[17177][200,(24, 82),16851,E,106,92,106]
[17513][201,(24, 83),17177,E,107,91,107]
[17862][202,(25, 83),17513,S,108,90,108]
[18211][203,(26, 83),17862,S,109,89,109]
[18566][206,(26, 84),18211,E,110,88,110]
[18933][207,(27, 84),18566,S,111,87,111]
[19283][209,(28, 84),18933,S,112,86,112]
[19636][212,(29, 84),19283,S,113,85,113]
[19995][213,(29, 85),19636,E,114,84,114]
[20339][214,(30, 85),19995,S,115,83,115]
[20659][216,(30, 86),20339,E,116,82,116]
[20952][220,(31, 86),20659,S,117,81,117]
[21238][222,(32, 86),20952,S,118,80,118]
[21515][224,(32, 87),21238,E,119,79,119]
[21783][225,(33, 87),21515,S,120,78,120]
[22053][226,(34, 87),21783,S,121,77,121]
[22322][229,(35, 87),22053,S,122,76,122]
[22580][232,(36, 87),22322,S,123,75,123]
[22838][235,(37, 87),22580,S,124,74,124]
[23103][238,(38, 87),22838,S,125,73,125]
[23350][242,(39, 87),23103,S,126,72,126]
[23589][243,(39, 88),23350,E,127,71,127]
[23849][246,(40, 88),23589,S,128,70,128]
[24099][248,(41, 88),23849,S,129,69,129]
[24325][249,(41, 89),24099,E,130,68,130]
[24560][250,(42, 89),24325,S,131,67,131]
[24782][253,(43, 89),24560,S,132,66,132]
[24983][255,(44, 89),24782,S,133,65,133]
[25199][257,(45, 89),24983,S,134,64,134]
[25418][259,(46, 89),25199,S,135,63,135]
[25619][262,(47, 89),25418,S,136,62,136]
[25823][263,(48, 89),25619,S,137,61,137]
[26033][264,(49, 89),25823,S,138,60,138]
[26238][265,(50, 89),26033,S,139,59,139]
[26433][266,(51, 89),26238,S,140,58,140]
[26629][267,(52, 89),26433,S,141,57,141]
[26823][270,(53, 89),26629,S,142,56,142]
[27019][271,(53, 90),26823,E,143,55,143]
[27215][272,(54, 90),27019,S,144,54,144]
[27405][275,(55, 90),27215,S,145,53,145]
[27586][278,(56, 90),27405,S,146,52,146]
[27765][281,(57, 90),27586,S,147,51,147]
[27934][284,(58, 90),27765,S,148,50,148]
[28094][287,(58, 91),27934,E,149,49,149]
[28238][289,(59, 91),28094,S,150,48,150]
[28389][293,(59, 92),28238,E,151,47,151]
[28552][294,(60, 92),28389,S,152,46,152]
[28717][295,(61, 92),28552,S,153,45,153]
[28865][296,(62, 92),28717,S,154,44,154]
[29010][300,(63, 92),28865,S,155,43,155]
[29152][301,(64, 92),29010,S,156,42,156]
[29299][302,(65, 92),29152,S,157,41,157]
[29439][306,(66, 92),29299,S,158,40,158]
[29571][307,(67, 92),29439,S,159,39,159]
[29703][308,(68, 92),29571,S,160,38,160]
[29833][309,(69, 92),29703,S,161,37,161]
[29962][313,(70, 92),29833,S,162,36,162]
[30087][316,(71, 92),29962,S,163,35,163]
[30215][317,(72, 92),30087,S,164,34,164]
[30338][320,(73, 92),30215,S,165,33,165]
[30450][321,(73, 93),30338,E,166,32,166]
[30559][322,(74, 93),30450,S,167,31,167]
[30670][323,(75, 93),30559,S,168,30,168]
[30785][324,(76, 93),30670,S,169,29,169]
[30897][327,(77, 93),30785,S,170,28,170]
[30992][330,(78, 93),30897,S,171,27,171]
[31076][334,(79, 93),30992,S,172,26,172]
[31160][338,(80, 93),31076,S,173,25,173]
[31243][341,(80, 94),31160,E,174,24,174]
[31319][342,(81, 94),31243,S,175,23,175]
[31395][344,(82, 94),31319,S,176,22,176]
