[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,18,1.0]
[1][1,(0, 1),0,E,1,17,0.5]
[2][3,(1, 1),1,S,2,16,0.3333333333333333]
[6][6,(1, 0),2,O,3,17,0.25]
[8][9,(2, 0),6,S,4,16,0.2]
[10][11,(2, 1),8,E,5,15,0.16666666666666666]
[12][15,(2, 2),10,E,6,14,0.14285714285714285]
[15][16,(1, 2),12,N,7,15,0.125]
[20][17,(1, 3),15,E,8,14,0.1111111111111111]
[24][19,(1, 4),20,E,9,13,0.1]
[28][22,(0, 4),24,N,10,14,0.09090909090909091]
[32][24,(0, 5),28,E,11,13,0.08333333333333333]
[34][25,(0, 6),32,E,12,12,0.07692307692307693]
[37][26,(1, 6),34,S,13,11,0.07142857142857142]
[40][27,(1, 7),37,E,14,10,0.06666666666666667]
[42][28,(0, 7),40,N,15,11,0.0625]
[45][30,(0, 8),42,E,16,10,0.058823529411764705]
[47][33,(0, 9),45,E,17,9,0.05555555555555555]
[50][35,(1, 9),47,S,18,8,0.05263157894736842]
[53][36,(2, 9),50,S,19,7,0.05]
[59][37,(2, 8),53,O,20,8,0.047619047619047616]
[62][40,(2, 7),59,O,21,9,0.045454545454545456]
[66][41,(2, 6),62,O,22,10,0.043478260869565216]
[69][43,(3, 6),66,S,23,9,0.041666666666666664]
[73][46,(3, 5),69,O,24,10,0.04]
[74][48,(2, 5),73,N,25,11,0.038461538461538464]
[79][51,(2, 4),74,O,26,12,0.037037037037037035]
[86][52,(2, 3),79,O,27,13,0.03571428571428571]
[89][55,(3, 3),86,S,28,12,0.034482758620689655]
[94][58,(3, 2),89,O,29,13,0.03333333333333333]
[98][60,(3, 1),94,O,30,14,0.03225806451612903]
[101][61,(3, 0),98,O,31,15,0.03125]
[103][63,(4, 0),101,S,32,14,0.030303030303030304]
[105][67,(4, 1),103,E,33,13,0.029411764705882353]
[106][69,(4, 2),105,E,34,12,0.02857142857142857]
[110][71,(4, 3),106,E,35,11,0.027777777777777776]
[114][74,(5, 3),110,S,36,10,0.02702702702702703]
[119][77,(5, 2),114,O,37,11,0.02631578947368421]
[123][78,(5, 1),119,O,38,12,0.02564102564102564]
[127][79,(5, 0),123,O,39,13,0.025]
[129][80,(6, 0),127,S,40,12,0.024390243902439025]
[131][81,(6, 1),129,E,41,11,0.023809523809523808]
[134][85,(6, 2),131,E,42,10,0.023255813953488372]
[138][86,(6, 3),134,E,43,9,0.022727272727272728]
[141][87,(7, 3),138,S,44,8,0.022222222222222223]
[146][91,(7, 2),141,O,45,9,0.021739130434782608]
[149][92,(7, 1),146,O,46,10,0.02127659574468085]
[153][94,(7, 0),149,O,47,11,0.020833333333333332]
[156][96,(8, 0),153,S,48,10,0.02040816326530612]
[158][100,(8, 1),156,E,49,9,0.02]
[161][101,(8, 2),158,E,50,8,0.0196078431372549]
[165][102,(8, 3),161,E,51,7,0.019230769230769232]
[168][103,(8, 4),165,E,52,6,0.018867924528301886]
[171][106,(7, 4),168,N,53,7,0.018518518518518517]
[175][107,(6, 4),171,N,54,8,0.01818181818181818]
[179][108,(5, 4),175,N,55,9,0.017857142857142856]
[181][111,(4, 4),179,N,56,10,0.017543859649122806]
[186][113,(4, 5),181,E,57,9,0.017241379310344827]
[192][114,(4, 6),186,E,58,8,0.01694915254237288]
[196][115,(4, 7),192,E,59,7,0.016666666666666666]
[199][116,(3, 7),196,N,60,8,0.01639344262295082]
[202][119,(3, 8),199,E,61,7,0.016129032258064516]
[206][121,(3, 9),202,E,62,6,0.015873015873015872]
[210][123,(4, 9),206,S,63,5,0.015625]
[213][124,(5, 9),210,S,64,4,0.015384615384615385]
[216][125,(5, 8),213,O,65,5,0.015151515151515152]
[219][126,(5, 7),216,O,66,6,0.014925373134328358]
[224][127,(5, 6),219,O,67,7,0.014705882352941176]
[228][129,(5, 5),224,O,68,8,0.014492753623188406]
[231][132,(6, 5),228,S,69,7,0.014285714285714285]
[234][136,(7, 5),231,S,70,6,0.014084507042253521]
[236][140,(7, 6),234,E,71,5,0.013888888888888888]
[239][143,(6, 6),236,N,72,6,0.0136986301369863]
[244][146,(6, 7),239,E,73,5,0.013513513513513514]
[247][147,(6, 8),244,E,74,4,0.013333333333333334]
[251][150,(7, 8),247,S,75,3,0.013157894736842105]
[258][151,(7, 7),251,O,76,4,0.012987012987012988]
[261][155,(8, 7),258,S,77,3,0.01282051282051282]
[265][156,(8, 6),261,O,78,4,0.012658227848101266]
[269][157,(8, 5),265,O,79,5,0.0125]
[272][159,(9, 5),269,S,80,4,0.012345679012345678]
[275][160,(9, 6),272,E,81,3,0.012195121951219513]
[280][161,(9, 7),275,E,82,2,0.012048192771084338]
[282][162,(9, 8),280,E,83,1,0.011904761904761904]
[285][164,(9, 9),282,E,84,0,0.011764705882352941]
