[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,48,48]
[1][2,(1, 0),0,S,1,47,49]
[4][3,(2, 0),1,S,2,46,49]
[8][4,(2, 1),4,E,3,45,49]
[9][7,(2, 2),8,E,4,44,51]
[13][8,(2, 3),9,E,5,43,51]
[17][9,(2, 4),13,E,6,42,51]
[21][10,(3, 4),17,S,7,41,51]
[34][11,(3, 5),21,E,8,40,51]
[38][12,(3, 6),34,E,9,39,51]
[43][13,(4, 6),38,S,10,38,51]
[65][14,(5, 6),43,S,11,37,51]
[80][15,(6, 6),65,S,12,36,51]
[88][17,(7, 6),80,S,13,35,52]
[118][19,(8, 6),88,S,14,34,53]
[148][21,(8, 7),118,E,15,33,54]
[189][22,(9, 7),148,S,16,32,54]
[200][23,(10, 7),189,S,17,31,54]
[212][24,(11, 7),200,S,18,30,54]
[219][25,(12, 7),212,S,19,29,54]
[226][26,(13, 7),219,S,20,28,54]
[233][29,(14, 7),226,S,21,27,56]
[379][30,(14, 8),233,E,22,26,56]
[382][31,(14, 9),379,E,23,25,56]
[386][32,(14, 10),382,E,24,24,56]
[389][33,(14, 11),386,E,25,23,56]
[393][36,(15, 11),389,S,26,22,58]
[669][37,(15, 12),393,E,27,21,58]
[674][38,(16, 12),669,S,28,20,58]
[689][39,(16, 13),674,E,29,19,58]
[692][40,(16, 14),689,E,30,18,58]
[696][43,(16, 15),692,E,31,17,60]
[1048][44,(16, 16),696,E,32,16,60]
[1053][45,(17, 16),1048,S,33,15,60]
[1062][46,(18, 16),1053,S,34,14,60]
[1067][47,(18, 17),1062,E,35,13,60]
[1071][49,(19, 17),1067,S,36,12,61]
[1241][50,(20, 17),1071,S,37,11,61]
[1250][51,(20, 18),1241,E,38,10,61]
[1254][53,(20, 19),1250,E,39,9,62]
[1377][54,(20, 20),1254,E,40,8,62]
[1381][56,(21, 20),1377,S,41,7,63]
[1553][57,(21, 21),1381,E,42,6,63]
[1558][58,(22, 21),1553,S,43,5,63]
[1578][60,(22, 22),1558,E,44,4,64]
[1698][61,(23, 22),1578,S,45,3,64]
[1709][62,(23, 23),1698,E,46,2,64]
[1713][64,(24, 23),1709,S,47,1,65]
[1803][65,(24, 24),1713,E,48,0,65]
