[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,73]
[1][3,(0, 1),0,E,1,72,72]
[3][7,(0, 2),1,E,2,71,71]
[5][10,(0, 3),3,E,3,70,70]
[7][11,(0, 4),5,E,4,69,69]
[10][12,(0, 5),7,E,5,68,68]
[13][13,(0, 6),10,E,6,67,67]
[16][14,(0, 7),13,E,7,66,66]
[19][15,(0, 8),16,E,8,65,65]
[21][18,(0, 9),19,E,9,64,64]
[23][22,(0, 10),21,E,10,63,63]
[26][25,(1, 10),23,S,11,62,62]
[29][26,(1, 11),26,E,12,61,61]
[33][27,(2, 11),29,S,13,60,60]
[38][28,(2, 12),33,E,14,59,59]
[41][30,(2, 13),38,E,15,58,58]
[44][31,(3, 13),41,S,16,57,57]
[47][35,(4, 13),44,S,17,56,56]
[50][38,(4, 14),47,E,18,55,55]
[53][39,(5, 14),50,S,19,54,54]
[56][40,(5, 15),53,E,20,53,53]
[59][44,(5, 16),56,E,21,52,52]
[63][45,(5, 17),59,E,22,51,51]
[67][48,(5, 18),63,E,23,50,50]
[70][51,(5, 19),67,E,24,49,49]
[73][54,(6, 19),70,S,25,48,48]
[76][55,(6, 20),73,E,26,47,47]
[80][56,(6, 21),76,E,27,46,46]
[83][58,(6, 22),80,E,28,45,45]
[87][61,(6, 23),83,E,29,44,44]
[91][64,(7, 23),87,S,30,43,43]
[96][66,(7, 24),91,E,31,42,42]
[99][67,(8, 24),96,S,32,41,41]
[102][68,(9, 24),99,S,33,40,40]
[105][70,(10, 24),102,S,34,39,39]
[108][71,(11, 24),105,S,35,38,38]
[111][73,(12, 24),108,S,36,37,37]
[113][76,(13, 24),111,S,37,36,36]
[115][78,(14, 24),113,S,38,35,35]
[118][81,(15, 24),115,S,39,34,34]
[121][83,(15, 23),118,O,40,35,35]
[124][84,(15, 22),121,O,41,36,36]
[131][86,(15, 21),124,O,42,37,37]
[142][88,(16, 21),131,S,43,36,36]
[145][89,(16, 22),142,E,44,35,35]
[147][91,(16, 23),145,E,45,34,34]
[150][95,(16, 24),147,E,46,33,33]
[153][98,(17, 24),150,S,47,32,32]
[156][101,(18, 24),153,S,48,31,31]
[159][102,(19, 24),156,S,49,30,30]
[162][105,(20, 24),159,S,50,29,29]
[164][106,(21, 24),162,S,51,28,28]
[167][109,(22, 24),164,S,52,27,27]
[169][110,(23, 24),167,S,53,26,26]
[172][111,(24, 24),169,S,54,25,25]
[175][112,(25, 24),172,S,55,24,24]
[178][113,(26, 24),175,S,56,23,23]
[180][114,(27, 24),178,S,57,22,22]
[183][115,(28, 24),180,S,58,21,21]
[186][116,(29, 24),183,S,59,20,20]
[189][117,(30, 24),186,S,60,19,19]
[193][119,(30, 23),189,O,61,20,20]
[197][121,(31, 23),193,S,62,19,19]
[200][122,(32, 23),197,S,63,18,18]
[203][125,(32, 24),200,E,64,17,17]
[206][126,(33, 24),203,S,65,16,16]
[209][130,(34, 24),206,S,66,15,15]
[212][131,(35, 24),209,S,67,14,14]
[214][134,(36, 24),212,S,68,13,13]
[217][135,(37, 24),214,S,69,12,12]
[220][138,(38, 24),217,S,70,11,11]
[222][139,(39, 24),220,S,71,10,10]
[225][143,(39, 23),222,O,72,11,11]
[228][144,(40, 23),225,S,73,10,10]
[231][146,(41, 23),228,S,74,9,9]
[235][147,(42, 23),231,S,75,8,8]
[244][150,(43, 23),235,S,76,7,7]
[247][152,(43, 24),244,E,77,6,6]
[249][155,(44, 24),247,S,78,5,5]
[252][158,(45, 24),249,S,79,4,4]
[255][159,(46, 24),252,S,80,3,3]
[258][161,(47, 24),255,S,81,2,2]
[260][162,(48, 24),258,S,82,1,1]
[263][163,(49, 24),260,S,83,0,0]
