[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,98,0]
[1][2,(1, 0),0,S,1,97,2]
[3][5,(1, 1),1,E,2,96,5]
[5][6,(1, 2),3,E,3,95,6]
[11][7,(1, 3),5,E,4,94,7]
[20][8,(1, 4),11,E,5,93,8]
[33][10,(2, 4),20,S,6,92,10]
[43][11,(2, 5),33,E,7,91,11]
[50][12,(3, 5),43,S,8,90,12]
[67][13,(4, 5),50,S,9,89,13]
[90][14,(5, 5),67,S,10,88,14]
[112][16,(6, 5),90,S,11,87,16]
[161][17,(7, 5),112,S,12,86,17]
[196][18,(8, 5),161,S,13,85,18]
[227][19,(9, 5),196,S,14,84,19]
[246][20,(9, 6),227,E,15,83,20]
[274][21,(10, 6),246,S,16,82,21]
[304][22,(11, 6),274,S,17,81,22]
[353][23,(12, 6),304,S,18,80,23]
[396][24,(12, 7),353,E,19,79,24]
[434][25,(12, 8),396,E,20,78,25]
[473][26,(12, 9),434,E,21,77,26]
[502][27,(13, 9),473,S,22,76,27]
[549][28,(13, 10),502,E,23,75,28]
[589][29,(14, 10),549,S,24,74,29]
[641][30,(15, 10),589,S,25,73,30]
[710][32,(16, 10),641,S,26,72,32]
[842][34,(17, 10),710,S,27,71,34]
[954][35,(18, 10),842,S,28,70,35]
[1017][36,(19, 10),954,S,29,69,36]
[1067][38,(19, 9),1017,O,30,70,38]
[1182][39,(20, 9),1067,S,31,69,39]
[1244][40,(21, 9),1182,S,32,68,40]
[1319][41,(21, 10),1244,E,33,67,41]
[1394][42,(22, 10),1319,S,34,66,42]
[1486][43,(23, 10),1394,S,35,65,43]
[1559][44,(23, 11),1486,E,36,64,44]
[1612][45,(24, 11),1559,S,37,63,45]
[1693][47,(25, 11),1612,S,38,62,47]
[1817][50,(26, 11),1693,S,39,61,50]
[1997][54,(27, 11),1817,S,40,60,54]
[2230][55,(28, 11),1997,S,41,59,55]
[2326][57,(29, 11),2230,S,42,58,57]
[2450][58,(29, 12),2326,E,43,57,58]
[2526][59,(29, 13),2450,E,44,56,59]
[2616][60,(30, 13),2526,S,45,55,60]
[2690][61,(31, 13),2616,S,46,54,61]
[2802][62,(32, 13),2690,S,47,53,62]
[2901][63,(33, 13),2802,S,48,52,63]
[3007][64,(34, 13),2901,S,49,51,64]
[3110][65,(34, 14),3007,E,50,50,65]
[3194][66,(34, 15),3110,E,51,49,66]
[3298][67,(34, 16),3194,E,52,48,67]
[3407][68,(34, 17),3298,E,53,47,68]
[3520][70,(34, 18),3407,E,54,46,70]
[3741][71,(34, 19),3520,E,55,45,71]
[3856][72,(34, 20),3741,E,56,44,72]
[3964][73,(35, 20),3856,S,57,43,73]
[4060][74,(35, 21),3964,E,58,42,74]
[4149][75,(36, 21),4060,S,59,41,75]
[4243][76,(37, 21),4149,S,60,40,76]
[4340][78,(38, 21),4243,S,61,39,78]
[4550][79,(39, 21),4340,S,62,38,79]
[4676][80,(39, 22),4550,E,63,37,80]
[4768][81,(40, 22),4676,S,64,36,81]
[4890][82,(41, 22),4768,S,65,35,82]
[5028][84,(42, 22),4890,S,66,34,84]
[5275][86,(43, 22),5028,S,67,33,86]
[5518][87,(43, 23),5275,E,68,32,87]
[5672][88,(43, 24),5518,E,69,31,88]
[5810][89,(44, 24),5672,S,70,30,89]
[5953][90,(45, 24),5810,S,71,29,90]
[6092][91,(45, 25),5953,E,72,28,91]
[6227][93,(45, 26),6092,E,73,27,93]
[6407][94,(46, 26),6227,S,74,26,94]
[6472][98,(46, 27),6407,E,75,25,98]
[6774][100,(46, 28),6472,E,76,24,100]
[6897][101,(47, 28),6774,S,77,23,101]
[6972][102,(47, 29),6897,E,78,22,102]
[7031][104,(47, 30),6972,E,79,21,104]
[7159][106,(47, 31),7031,E,80,20,106]
[7299][107,(47, 32),7159,E,81,19,107]
[7371][108,(47, 33),7299,E,82,18,108]
[7433][110,(47, 34),7371,E,83,17,110]
[7520][111,(47, 35),7433,E,84,16,111]
[7562][112,(47, 36),7520,E,85,15,112]
[7598][113,(47, 37),7562,E,86,14,113]
[7633][115,(47, 38),7598,E,87,13,115]
[7698][116,(48, 38),7633,S,88,12,116]
[7740][117,(48, 39),7698,E,89,11,117]
[7776][118,(48, 40),7740,E,90,10,118]
[7816][119,(48, 41),7776,E,91,9,119]
[7859][120,(48, 42),7816,E,92,8,120]
[7880][121,(48, 43),7859,E,93,7,121]
[7903][122,(48, 44),7880,E,94,6,122]
[7928][123,(48, 45),7903,E,95,5,123]
[7961][124,(48, 46),7928,E,96,4,124]
[7979][125,(48, 47),7961,E,97,3,125]
[7997][127,(48, 48),7979,E,98,2,127]
[8027][128,(49, 48),7997,S,99,1,128]
[8044][129,(49, 49),8027,E,100,0,129]
