[id][cost,state,father_id,action,depth,h,value]
[41663][0,(0, 0),None,None,0,18, 18]
[41664][2,(0, 1),41663,E,1,17,19]
[41665][5,(1, 1),41664,S,2,16,21]
[41668][7,(1, 2),41665,E,3,15,22]
[41671][8,(1, 3),41668,E,4,14,22]
[41675][11,(2, 3),41671,S,5,13,24]
[41681][14,(3, 3),41675,S,6,12,26]
[41687][17,(3, 4),41681,E,7,11,28]
[41693][20,(3, 5),41687,E,8,10,30]
[41701][23,(4, 5),41693,S,9,9,32]
[41713][27,(5, 5),41701,S,10,8,35]
[41725][28,(5, 4),41713,O,11,9,37]
[41733][31,(5, 3),41725,O,12,10,41]
[41743][34,(5, 2),41733,O,13,11,45]
[41748][36,(6, 2),41743,S,14,10,46]
[41754][39,(6, 1),41748,O,15,11,50]
[41760][43,(7, 1),41754,S,16,10,53]
[41765][46,(7, 2),41760,E,17,9,55]
[41773][48,(7, 3),41765,E,18,8,56]
[41780][49,(6, 3),41773,N,19,9,58]
[41787][51,(6, 4),41780,E,20,8,59]
[41793][53,(7, 4),41787,S,21,7,60]
[41798][54,(7, 5),41793,E,22,6,60]
[41800][55,(6, 5),41798,N,23,7,62]
[41805][58,(6, 6),41800,E,24,6,64]
[41813][59,(6, 7),41805,E,25,5,64]
[41816][61,(6, 8),41813,E,26,4,65]
[41819][62,(6, 9),41816,E,27,3,65]
[41822][66,(7, 9),41819,S,28,2,68]
[41833][67,(8, 9),41822,S,29,1,68]
[41838][70,(9, 9),41833,S,30,0,70]
