[id][cost,state,father_id,action,depth,h,value]
[25094][0,(0, 0),None,None,0,98, 98]
[25095][4,(0, 1),25094,E,1,97,97]
[25096][7,(1, 1),25095,S,2,96,96]
[25099][8,(1, 2),25096,E,3,95,95]
[25101][11,(0, 2),25099,N,4,96,96]
[25103][15,(0, 3),25101,E,5,95,95]
[25105][19,(0, 4),25103,E,6,94,94]
[25107][21,(1, 4),25105,S,7,93,93]
[25110][25,(1, 5),25107,E,8,92,92]
[25112][27,(1, 6),25110,E,9,91,91]
[25114][31,(1, 7),25112,E,10,90,90]
[25117][33,(1, 8),25114,E,11,89,89]
[25121][35,(1, 9),25117,E,12,88,88]
[25123][38,(1, 10),25121,E,13,87,87]
[25124][40,(2, 10),25123,S,14,86,86]
[25127][43,(3, 10),25124,S,15,85,85]
[25131][44,(4, 10),25127,S,16,84,84]
[25135][48,(5, 10),25131,S,17,83,83]
[25138][51,(6, 10),25135,S,18,82,82]
[25149][54,(7, 10),25138,S,19,81,81]
[25153][58,(7, 11),25149,E,20,80,80]
[25155][61,(7, 12),25153,E,21,79,79]
[25158][63,(7, 13),25155,E,22,78,78]
[25160][66,(6, 13),25158,N,23,79,79]
[25164][67,(6, 14),25160,E,24,78,78]
[25167][68,(6, 15),25164,E,25,77,77]
[25170][72,(7, 15),25167,S,26,76,76]
[25173][74,(7, 16),25170,E,27,75,75]
[25174][76,(6, 16),25173,N,28,76,76]
[25179][79,(6, 17),25174,E,29,75,75]
[25182][81,(6, 18),25179,E,30,74,74]
[25184][85,(6, 19),25182,E,31,73,73]
[25187][86,(7, 19),25184,S,32,72,72]
[25190][89,(7, 18),25187,O,33,73,73]
[25192][91,(8, 18),25190,S,34,72,72]
[25194][92,(8, 19),25192,E,35,71,71]
[25197][96,(9, 19),25194,S,36,70,70]
[25200][100,(10, 19),25197,S,37,69,69]
[25203][103,(10, 20),25200,E,38,68,68]
[25205][104,(9, 20),25203,N,39,69,69]
[25215][105,(8, 20),25205,N,40,70,70]
[25223][109,(8, 21),25215,E,41,69,69]
[25225][112,(8, 22),25223,E,42,68,68]
[25229][113,(8, 23),25225,E,43,67,67]
[25231][114,(7, 23),25229,N,44,68,68]
[25234][115,(7, 24),25231,E,45,67,67]
[25237][118,(8, 24),25234,S,46,66,66]
[25240][121,(8, 25),25237,E,47,65,65]
[25241][123,(8, 26),25240,E,48,64,64]
[25244][127,(7, 26),25241,N,49,65,65]
[25247][128,(7, 27),25244,E,50,64,64]
[25250][130,(7, 28),25247,E,51,63,63]
[25253][134,(6, 28),25250,N,52,64,64]
[25258][135,(5, 28),25253,N,53,65,65]
[25261][137,(5, 29),25258,E,54,64,64]
[25263][141,(5, 30),25261,E,55,63,63]
[25265][142,(4, 30),25263,N,56,64,64]
[25267][143,(4, 31),25265,E,57,63,63]
[25269][146,(5, 31),25267,S,58,62,62]
[25272][150,(5, 32),25269,E,59,61,61]
[25274][152,(6, 32),25272,S,60,60,60]
[25277][155,(6, 33),25274,E,61,59,59]
[25279][158,(6, 34),25277,E,62,58,58]
[25283][160,(6, 35),25279,E,63,57,57]
[25286][161,(6, 36),25283,E,64,56,56]
[25287][165,(7, 36),25286,S,65,55,55]
[25290][168,(7, 37),25287,E,66,54,54]
[25292][169,(7, 38),25290,E,67,53,53]
[25295][173,(8, 38),25292,S,68,52,52]
[25298][175,(9, 38),25295,S,69,51,51]
[25301][178,(9, 39),25298,E,70,50,50]
[25304][180,(9, 40),25301,E,71,49,49]
[25306][181,(10, 40),25304,S,72,48,48]
[25309][182,(10, 41),25306,E,73,47,47]
[25311][185,(10, 42),25309,E,74,46,46]
[25314][187,(10, 43),25311,E,75,45,45]
[25316][191,(11, 43),25314,S,76,44,44]
[25319][192,(11, 42),25316,O,77,45,45]
[25321][194,(11, 41),25319,O,78,46,46]
[25323][196,(11, 40),25321,O,79,47,47]
[25327][198,(12, 40),25323,S,80,46,46]
[25330][200,(12, 41),25327,E,81,45,45]
[25332][201,(12, 42),25330,E,82,44,44]
[25334][205,(12, 43),25332,E,83,43,43]
[25336][206,(12, 44),25334,E,84,42,42]
[25340][207,(12, 45),25336,E,85,41,41]
[25343][210,(12, 46),25340,E,86,40,40]
[25344][212,(12, 47),25343,E,87,39,39]
[25348][215,(13, 47),25344,S,88,38,38]
[25354][217,(13, 48),25348,E,89,37,37]
[25357][221,(13, 49),25354,E,90,36,36]
[25359][222,(14, 49),25357,S,91,35,35]
[25363][223,(14, 48),25359,O,92,36,36]
[25366][224,(15, 48),25363,S,93,35,35]
[25370][227,(15, 47),25366,O,94,36,36]
[25373][228,(16, 47),25370,S,95,35,35]
[25375][232,(16, 46),25373,O,96,36,36]
[25377][236,(17, 46),25375,S,97,35,35]
[25379][239,(17, 47),25377,E,98,34,34]
[25381][243,(17, 48),25379,E,99,33,33]
[25383][247,(17, 49),25381,E,100,32,32]
[25386][250,(18, 49),25383,S,101,31,31]
[25389][251,(18, 48),25386,O,102,32,32]
[25392][254,(18, 47),25389,O,103,33,33]
[25396][257,(19, 47),25392,S,104,32,32]
[25399][260,(19, 46),25396,O,105,33,33]
[25403][261,(20, 46),25399,S,106,32,32]
[25407][264,(21, 46),25403,S,107,31,31]
[25410][265,(21, 45),25407,O,108,32,32]
[25414][269,(22, 45),25410,S,109,31,31]
[25419][272,(22, 44),25414,O,110,32,32]
[25423][273,(22, 43),25419,O,111,33,33]
[25429][275,(22, 42),25423,O,112,34,34]
[25438][276,(23, 42),25429,S,113,33,33]
[25440][279,(23, 41),25438,O,114,34,34]
[25442][280,(24, 41),25440,S,115,33,33]
[25445][282,(24, 42),25442,E,116,32,32]
[25446][284,(25, 42),25445,S,117,31,31]
[25450][286,(25, 41),25446,O,118,32,32]
[25515][289,(26, 41),25450,S,119,31,31]
[25518][290,(26, 42),25515,E,120,30,30]
[25519][292,(26, 43),25518,E,121,29,29]
[25521][295,(26, 44),25519,E,122,28,28]
[25524][297,(27, 44),25521,S,123,27,27]
[25527][301,(27, 45),25524,E,124,26,26]
[25529][305,(28, 45),25527,S,125,25,25]
[25533][309,(28, 46),25529,E,126,24,24]
[25534][311,(28, 47),25533,E,127,23,23]
[25537][314,(28, 48),25534,E,128,22,22]
[25540][315,(29, 48),25537,S,129,21,21]
[25549][318,(30, 48),25540,S,130,20,20]
[25552][319,(30, 47),25549,O,131,21,21]
[25555][321,(30, 46),25552,O,132,22,22]
[25560][324,(30, 45),25555,O,133,23,23]
[25564][327,(31, 45),25560,S,134,22,22]
[25567][331,(32, 45),25564,S,135,21,21]
[25571][332,(32, 44),25567,O,136,22,22]
[25574][333,(33, 44),25571,S,137,21,21]
[25578][336,(33, 43),25574,O,138,22,22]
[25615][339,(34, 43),25578,S,139,21,21]
[25618][341,(35, 43),25615,S,140,20,20]
[25620][344,(36, 43),25618,S,141,19,19]
[25622][347,(36, 44),25620,E,142,18,18]
[25625][348,(36, 45),25622,E,143,17,17]
