[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,99, 0]
[1][2,(0, 1),0,E,1,98,1]
[3][5,(0, 2),1,E,2,97,3]
[9][9,(0, 3),3,E,3,96,6]
[16][16,(0, 4),9,E,4,95,12]
[31][22,(0, 5),16,E,5,94,17]
[46][29,(0, 6),31,E,6,93,23]
[59][37,(1, 6),46,S,7,92,30]
[73][46,(2, 6),59,S,8,91,38]
[89][56,(2, 7),73,E,9,90,47]
[118][67,(3, 7),89,S,10,89,57]
[150][79,(4, 7),118,S,11,88,68]
[187][93,(5, 7),150,S,12,87,81]
[226][107,(6, 7),187,S,13,86,94]
[260][123,(7, 7),226,S,14,85,109]
[297][139,(7, 8),260,E,15,84,124]
[339][156,(8, 8),297,S,16,83,140]
[395][176,(9, 8),339,S,17,82,159]
[450][196,(10, 8),395,S,18,81,178]
[502][216,(10, 9),450,E,19,80,197]
[555][237,(11, 9),502,S,20,79,217]
[609][259,(11, 10),555,E,21,78,238]
[674][283,(12, 10),609,S,22,77,261]
[743][308,(13, 10),674,S,23,76,285]
[812][333,(13, 11),743,E,24,75,309]
[886][360,(13, 12),812,E,25,74,335]
[969][387,(13, 13),886,E,26,73,361]
[1046][415,(14, 13),969,S,27,72,388]
[1125][444,(14, 14),1046,E,28,71,416]
[1205][474,(14, 15),1125,E,29,70,445]
[1297][506,(14, 16),1205,E,30,69,476]
[1392][538,(14, 17),1297,E,31,68,507]
[1491][571,(15, 17),1392,S,32,67,539]
[1583][605,(16, 17),1491,S,33,66,572]
[1675][640,(16, 18),1583,E,34,65,606]
[1782][676,(16, 19),1675,E,35,64,641]
[1888][713,(17, 19),1782,S,36,63,677]
[1992][751,(17, 20),1888,E,37,62,714]
[2093][790,(17, 21),1992,E,38,61,752]
[2196][830,(17, 22),2093,E,39,60,791]
[2315][871,(18, 22),2196,S,40,59,831]
[2443][914,(18, 23),2315,E,41,58,873]
[2563][957,(18, 24),2443,E,42,57,915]
[2689][1001,(18, 25),2563,E,43,56,958]
[2827][1046,(19, 25),2689,S,44,55,1002]
[2957][1092,(19, 26),2827,E,45,54,1047]
[3089][1139,(19, 27),2957,E,46,53,1093]
[3234][1187,(19, 28),3089,E,47,52,1140]
[3383][1236,(19, 29),3234,E,48,51,1188]
[3525][1286,(20, 29),3383,S,49,50,1237]
[3675][1337,(21, 29),3525,S,50,49,1287]
[3827][1390,(22, 29),3675,S,51,48,1339]
[3989][1443,(23, 29),3827,S,52,47,1391]
[4157][1497,(23, 30),3989,E,53,46,1444]
[4318][1552,(24, 30),4157,S,54,45,1498]
[4479][1608,(25, 30),4318,S,55,44,1553]
[4647][1665,(25, 31),4479,E,56,43,1609]
[4821][1723,(25, 32),4647,E,57,42,1666]
[4995][1782,(25, 33),4821,E,58,41,1724]
[5182][1842,(26, 33),4995,S,59,40,1783]
[5375][1903,(26, 34),5182,E,60,39,1843]
[5536][1965,(26, 35),5375,E,61,38,1904]
[5678][2029,(26, 36),5536,E,62,37,1967]
[5814][2093,(26, 37),5678,E,63,36,2030]
[5936][2159,(26, 38),5814,E,64,35,2095]
[6051][2225,(27, 38),5936,S,65,34,2160]
[6164][2293,(27, 39),6051,E,66,33,2227]
[6268][2361,(27, 40),6164,E,67,32,2294]
[6370][2430,(28, 40),6268,S,68,31,2362]
[6493][2500,(29, 40),6370,S,69,30,2431]
[6613][2571,(30, 40),6493,S,70,29,2501]
[6711][2643,(30, 41),6613,E,71,28,2572]
[6810][2716,(31, 41),6711,S,72,27,2644]
[6903][2790,(32, 41),6810,S,73,26,2717]
[6997][2867,(33, 41),6903,S,74,25,2793]
[7090][2944,(34, 41),6997,S,75,24,2869]
[7169][3023,(35, 41),7090,S,76,23,2947]
[7260][3103,(36, 41),7169,S,77,22,3026]
[7341][3182,(37, 41),7260,S,78,21,3104]
[7422][3262,(38, 41),7341,S,79,20,3183]
[7498][3343,(38, 42),7422,E,80,19,3263]
[7567][3425,(39, 42),7498,S,81,18,3344]
[7632][3508,(40, 42),7567,S,82,17,3426]
[7689][3592,(40, 43),7632,E,83,16,3509]
[7737][3677,(40, 44),7689,E,84,15,3593]
[7790][3765,(40, 45),7737,E,85,14,3680]
[7843][3852,(41, 45),7790,S,86,13,3766]
[7884][3941,(42, 45),7843,S,87,12,3854]
[7919][4031,(42, 46),7884,E,88,11,3943]
[7964][4121,(43, 46),7919,S,89,10,4032]
[7998][4212,(43, 47),7964,E,90,9,4122]
[8032][4304,(44, 47),7998,S,91,8,4213]
[8069][4398,(45, 47),8032,S,92,7,4306]
[8098][4494,(46, 47),8069,S,93,6,4401]
[8124][4589,(46, 48),8098,E,94,5,4495]
[8145][4687,(47, 48),8124,S,95,4,4592]
[8166][4784,(47, 49),8145,E,96,3,4688]
[8174][4882,(48, 49),8166,S,97,2,4785]
[8184][4981,(48, 50),8174,E,98,1,4883]
[8192][5081,(49, 50),8184,S,99,0,4982]
