[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,118, 1]
[2][3,(1, 0),0,S,1,117,1]
[6][4,(2, 0),2,S,2,116,2]
[10][7,(3, 0),6,S,3,115,3]
[16][9,(4, 0),10,S,4,114,4]
[25][13,(4, 1),16,E,5,113,5]
[34][15,(5, 1),25,S,6,112,6]
[45][19,(6, 1),34,S,7,111,7]
[54][21,(7, 1),45,S,8,110,8]
[62][24,(7, 2),54,E,9,109,9]
[69][28,(7, 3),62,E,10,108,10]
[77][31,(7, 4),69,E,11,107,11]
[88][34,(8, 4),77,S,12,106,12]
[103][36,(9, 4),88,S,13,105,13]
[116][39,(9, 5),103,E,14,104,14]
[126][42,(9, 6),116,E,15,103,15]
[137][46,(9, 7),126,E,16,102,16]
[149][49,(8, 7),137,N,17,103,17]
[159][53,(7, 7),149,N,18,104,18]
[166][56,(7, 8),159,E,19,103,19]
[173][57,(6, 8),166,N,20,104,20]
[181][61,(5, 8),173,N,21,105,21]
[190][65,(5, 9),181,E,22,104,22]
[199][69,(5, 10),190,E,23,103,23]
[207][72,(5, 11),199,E,24,102,24]
[216][75,(6, 11),207,S,25,101,25]
[226][76,(7, 11),216,S,26,100,26]
[236][79,(7, 10),226,O,27,101,27]
[246][81,(8, 10),236,S,28,100,28]
[260][83,(9, 10),246,S,29,99,29]
[276][87,(10, 10),260,S,30,98,30]
[294][90,(10, 11),276,E,31,97,31]
[310][92,(11, 11),294,S,32,96,32]
[325][94,(11, 12),310,E,33,95,33]
[333][96,(11, 13),325,E,34,94,34]
[346][98,(10, 13),333,N,35,95,35]
[363][101,(10, 14),346,E,36,94,36]
[381][104,(9, 14),363,N,37,95,37]
[394][107,(9, 15),381,E,38,94,38]
[408][111,(8, 15),394,N,39,95,39]
[422][113,(8, 16),408,E,40,94,40]
[443][115,(9, 16),422,S,41,93,41]
[467][119,(9, 17),443,E,42,92,42]
[490][122,(10, 17),467,S,43,91,43]
[520][126,(10, 18),490,E,44,90,44]
[550][130,(10, 19),520,E,45,89,45]
[576][134,(9, 19),550,N,46,90,46]
[601][138,(8, 19),576,N,47,91,47]
[626][139,(8, 20),601,E,48,90,48]
[651][140,(7, 20),626,N,49,91,49]
[674][141,(7, 21),651,E,50,90,50]
[701][142,(7, 22),674,E,51,89,51]
[729][143,(8, 22),701,S,52,88,52]
[763][147,(8, 23),729,E,53,87,53]
[804][148,(8, 24),763,E,54,86,54]
[848][151,(8, 25),804,E,55,85,55]
[884][153,(8, 26),848,E,56,84,56]
[913][156,(7, 26),884,N,57,85,57]
[939][160,(6, 26),913,N,58,86,58]
[965][162,(6, 27),939,E,59,85,59]
[989][163,(7, 27),965,S,60,84,60]
[1012][164,(8, 27),989,S,61,83,61]
[1038][167,(8, 28),1012,E,62,82,62]
[1064][170,(9, 28),1038,S,63,81,63]
[1092][174,(10, 28),1064,S,64,80,64]
[1114][177,(10, 29),1092,E,65,79,65]
[1131][178,(10, 30),1114,E,66,78,66]
[1154][182,(10, 31),1131,E,67,77,67]
[1180][184,(9, 31),1154,N,68,78,68]
[1209][187,(8, 31),1180,N,69,79,69]
[1239][190,(8, 32),1209,E,70,78,70]
[1272][193,(7, 32),1239,N,71,79,71]
[1309][194,(6, 32),1272,N,72,80,72]
[1345][198,(5, 32),1309,N,73,81,73]
[1375][199,(5, 33),1345,E,74,80,74]
[1410][202,(5, 34),1375,E,75,79,75]
[1442][206,(6, 34),1410,S,76,78,76]
[1470][210,(6, 35),1442,E,77,77,77]
[1491][211,(6, 36),1470,E,78,76,78]
[1512][213,(7, 36),1491,S,79,75,79]
[1534][217,(7, 37),1512,E,80,74,80]
[1554][218,(8, 37),1534,S,81,73,81]
[1576][219,(8, 38),1554,E,82,72,82]
[1595][220,(8, 39),1576,E,83,71,83]
[1610][223,(8, 40),1595,E,84,70,84]
[1626][227,(8, 41),1610,E,85,69,85]
[1644][231,(8, 42),1626,E,86,68,86]
[1668][233,(7, 42),1644,N,87,69,87]
[1690][236,(7, 43),1668,E,88,68,88]
[1710][237,(6, 43),1690,N,89,69,89]
[1733][238,(5, 43),1710,N,90,70,90]
[1764][240,(5, 44),1733,E,91,69,91]
[1797][242,(5, 45),1764,E,92,68,92]
[1831][244,(6, 45),1797,S,93,67,93]
[1866][246,(6, 46),1831,E,94,66,94]
[1901][249,(6, 47),1866,E,95,65,95]
[1939][251,(7, 47),1901,S,96,64,96]
[1982][252,(7, 48),1939,E,97,63,97]
[2026][255,(7, 49),1982,E,98,62,98]
[2074][256,(8, 49),2026,S,99,61,99]
[2119][258,(8, 50),2074,E,100,60,100]
[2155][262,(8, 51),2119,E,101,59,101]
[2197][264,(9, 51),2155,S,102,58,102]
[2249][266,(9, 50),2197,O,103,59,103]
[2302][267,(10, 50),2249,S,104,58,104]
[2359][268,(11, 50),2302,S,105,57,105]
[2410][269,(12, 50),2359,S,106,56,106]
[2460][270,(13, 50),2410,S,107,55,107]
[2514][273,(13, 49),2460,O,108,56,108]
[2565][275,(14, 49),2514,S,109,55,109]
[2614][277,(15, 49),2565,S,110,54,110]
[2659][279,(16, 49),2614,S,111,53,111]
[2704][282,(17, 49),2659,S,112,52,112]
[2744][283,(18, 49),2704,S,113,51,113]
[2787][286,(18, 50),2744,E,114,50,114]
[2823][289,(19, 50),2787,S,115,49,115]
[2859][290,(19, 51),2823,E,116,48,116]
[2895][294,(19, 52),2859,E,117,47,117]
[2935][297,(20, 52),2895,S,118,46,118]
[2973][301,(20, 53),2935,E,119,45,119]
[3007][302,(21, 53),2973,S,120,44,120]
[3044][305,(22, 53),3007,S,121,43,121]
[3081][308,(23, 53),3044,S,122,42,122]
[3108][310,(24, 53),3081,S,123,41,123]
[3132][311,(25, 53),3108,S,124,40,124]
[3158][314,(26, 53),3132,S,125,39,125]
[3184][315,(26, 52),3158,O,126,40,126]
[3209][318,(26, 51),3184,O,127,41,127]
[3238][322,(25, 51),3209,N,128,42,128]
[3260][325,(25, 50),3238,O,129,43,129]
[3283][328,(26, 50),3260,S,130,42,130]
[3315][332,(27, 50),3283,S,131,41,131]
[3348][334,(27, 49),3315,O,132,42,132]
[3368][338,(27, 48),3348,O,133,43,133]
[3388][340,(28, 48),3368,S,134,42,134]
[3419][344,(29, 48),3388,S,135,41,135]
[3447][348,(30, 48),3419,S,136,40,136]
[3472][349,(31, 48),3447,S,137,39,137]
[3500][353,(32, 48),3472,S,138,38,138]
[3526][357,(32, 47),3500,O,139,39,139]
[3550][359,(33, 47),3526,S,140,38,140]
[3582][362,(33, 46),3550,O,141,39,141]
[3615][363,(33, 45),3582,O,142,40,142]
[3648][365,(34, 45),3615,S,143,39,143]
[3683][368,(35, 45),3648,S,144,38,144]
[3719][371,(36, 45),3683,S,145,37,145]
[3760][375,(36, 44),3719,O,146,38,146]
[3807][378,(36, 43),3760,O,147,39,147]
[3848][380,(37, 43),3807,S,148,38,148]
[3888][384,(37, 42),3848,O,149,39,149]
[3925][388,(38, 42),3888,S,150,38,150]
[3969][389,(39, 42),3925,S,151,37,151]
[4011][390,(39, 41),3969,O,152,38,152]
[4057][392,(40, 41),4011,S,153,37,153]
[4110][393,(40, 42),4057,E,154,36,154]
[4151][394,(41, 42),4110,S,155,35,155]
[4181][395,(41, 43),4151,E,156,34,156]
[4203][397,(42, 43),4181,S,157,33,157]
[4227][398,(43, 43),4203,S,158,32,158]
[4248][402,(43, 42),4227,O,159,33,159]
[4265][406,(44, 42),4248,S,160,32,160]
[4283][410,(44, 41),4265,O,161,33,161]
[4301][412,(45, 41),4283,S,162,32,162]
[4318][416,(45, 40),4301,O,163,33,163]
[4333][420,(46, 40),4318,S,164,32,164]
[4350][424,(47, 40),4333,S,165,31,165]
[4370][427,(48, 40),4350,S,166,30,166]
[4390][430,(48, 41),4370,E,167,29,167]
[4411][432,(47, 41),4390,N,168,30,168]
[4433][435,(47, 42),4411,E,169,29,169]
[4454][437,(46, 42),4433,N,170,30,170]
[4482][439,(46, 43),4454,E,171,29,171]
[4515][441,(46, 44),4482,E,172,28,172]
[4546][442,(47, 44),4515,S,173,27,173]
[4572][446,(47, 45),4546,E,174,26,174]
[4594][450,(47, 46),4572,E,175,25,175]
[4614][451,(47, 47),4594,E,176,24,176]
[4635][454,(46, 47),4614,N,177,25,177]
[4656][458,(45, 47),4635,N,178,26,178]
[4679][459,(45, 48),4656,E,179,25,179]
[4705][463,(45, 49),4679,E,180,24,180]
[4733][466,(44, 49),4705,N,181,25,181]
[4753][468,(43, 49),4733,N,182,26,182]
[4781][471,(43, 48),4753,O,183,27,183]
[4814][474,(42, 48),4781,N,184,28,184]
[4838][478,(42, 49),4814,E,185,27,185]
[4860][482,(41, 49),4838,N,186,28,186]
[4875][483,(41, 50),4860,E,187,27,187]
[4891][484,(41, 51),4875,E,188,26,188]
[4908][487,(42, 51),4891,S,189,25,189]
[4924][490,(43, 51),4908,S,190,24,190]
[4940][494,(43, 50),4924,O,191,25,191]
[4955][495,(44, 50),4940,S,192,24,192]
[4982][496,(45, 50),4955,S,193,23,193]
[5010][497,(45, 51),4982,E,194,22,194]
[5033][501,(45, 52),5010,E,195,21,195]
[5053][505,(45, 53),5033,E,196,20,196]
[5072][509,(46, 53),5053,S,197,19,197]
[5096][512,(47, 53),5072,S,198,18,198]
[5119][516,(48, 53),5096,S,199,17,199]
[5143][519,(48, 52),5119,O,200,18,200]
[5163][520,(49, 52),5143,S,201,17,201]
[5190][524,(50, 52),5163,S,202,16,202]
[5219][526,(51, 52),5190,S,203,15,203]
[5245][527,(52, 52),5219,S,204,14,204]
[5275][531,(53, 52),5245,S,205,13,205]
[5302][535,(53, 53),5275,E,206,12,206]
[5328][538,(52, 53),5302,N,207,13,207]
[5349][540,(52, 54),5328,E,208,12,208]
[5370][543,(53, 54),5349,S,209,11,209]
[5392][546,(53, 55),5370,E,210,10,210]
[5414][550,(54, 55),5392,S,211,9,211]
[5446][553,(54, 56),5414,E,212,8,212]
[5472][556,(54, 57),5446,E,213,7,213]
[5500][558,(54, 58),5472,E,214,6,214]
[5526][559,(55, 58),5500,S,215,5,215]
[5559][560,(55, 57),5526,O,216,6,216]
[5588][562,(56, 57),5559,S,217,5,217]
[5623][565,(56, 58),5588,E,218,4,218]
[5660][568,(56, 59),5623,E,219,3,219]
[5697][569,(57, 59),5660,S,220,2,220]
[5753][572,(58, 59),5697,S,221,1,221]
[5804][574,(59, 59),5753,S,222,0,222]
